id,card_name,characters,illustrator_id,normal_card_id
2001,『③《湖上の氷精》チルノ』,チルノ,01,0003
2002,『⑫《蓬莱の人の形》藤原妹紅』,藤原妹紅,01,0053
2003,『⑥《秘封倶楽部》宇佐見蓮子』,宇佐見蓮子,01,0032
2004,『⑩《東洋の西洋魔術師》霧雨魔理沙』,霧雨魔理沙,01,0010
2005,『⑧《四季のフラワーマスター》風見幽香』,風見幽香,01,0062
2006,『⑦《妖魔夜行》ルーミア』,ルーミア,01,0061
2007,『④《少女さとり ～ 3rd eye》古明地さとり』,古明地さとり,01,0004
2008,『⑪《門前の妖怪小娘》幽谷響子』,幽谷響子,01,0024
2009,『①《恋色マジック》霧雨魔理沙』,霧雨魔理沙,02,0027
2010,『⑨《言葉で世界の行く末を変える存在》稀神サグメ』,稀神サグメ,01,0050
2011,『②《最強と最狂の妖精》チルノ＆クラウンピース』,チルノ＆クラウンピース,01,0002
2012,『⑤《首吊り蓬莱人形》アリス・マーガトロイド』,アリス・マーガトロイド,01,0191
2013,『③《偶像に世界を委ねて》埴安神袿姫』,埴安神袿姫,01,0081
2014,『⑩《後戸の国》隠岐奈＆里乃＆舞』,隠岐奈＆里乃＆舞,01,0088
2015,『②《嵐の中の付喪神》九十九弁々』,九十九弁々,03,0104
2016,『⑥《魔法と紅夢からなる存在》魔梨沙』,魔梨沙,01,0204
2017,『⑤《地上の月兎と湖上の氷精》鈴仙＆チルノ』,鈴仙＆チルノ,01,0059
2018,『①《危険な手品師》十六夜咲夜』,十六夜咲夜,01,0151
2019,『⑧《幻想郷の猫娘達》橙＆ミケ＆お燐』,橙＆ミケ＆お燐,01,0098
2020,『⑨《大人しい妖怪たち》影狼＆わかさぎ姫＆赤蛮奇』,影狼＆わかさぎ姫＆赤蛮奇,01,0195
2021,『④《紅い悪魔》レミリア・スカーレット』,レミリア・スカーレット,01,0288
2022,『⑦《奇跡の現人神》東風谷早苗』,東風谷早苗,01,0253
2023,『⑫《庭師の祖父と孫娘》妖忌＆妖夢』,妖忌＆妖夢,01,0126
2024,『⑪《閉じた恋の瞳》古明地こいし』,古明地こいし,01,0101
2025,『②《コケコッコー！》庭渡久侘歌』,庭渡久侘歌,01,0336
2026,『①《優勝》カバ乃山』,カバ乃山,02,0055
2027,『⑨《孤影悄然の妖怪》古明地さとり』,古明地さとり,02,0437
2028,『⑥《U.N.オーエンは彼女なのか？》フランドール・スカーレット』,フランドール・スカーレット,01,0252
2029,『③《ろくろ首の怪奇》赤蛮奇』,赤蛮奇,05,0141
2030,『⑩《不憫な不法投棄物》多々良小傘』,多々良小傘,06,0344
2031,『④《吸血鬼のメイド》十六夜咲夜』,十六夜咲夜,07,0250
2032,『⑩《明治十七年の上海アリス》紅美鈴』,紅美鈴,01,0172
2033,『④《最強四重奏》チルノ＆ルーミア＆リグル＆ミスティア』,チルノ＆ルーミア＆リグル＆ミスティア,08,0390
2034,『⑦《エクステンドアッシュ》上白沢慧音』,上白沢慧音,01,0317
2035,『⑤《もう歌しか聞こえない》ミスティア・ローレライ』,ミスティア・ローレライ,01,0275
2036,『◯《パーフェクトマインドコントロール》古明地さとり』,古明地さとり,01,0000
2037,『④《伝統の幻想ブン屋》射命丸文』,射命丸文,09,0058
2038,『⑫《実況解説コンビ》れいむ＆まりさ』,れいむ＆まりさ,01,0078