id,normal_card_id
1001,0001
1002,0002
1003,0003
1004,0004
1005,0005
1006,0006
1007,0007
1008,0008
1009,0009
1010,0010
1011,0011
1012,0012
1013,0014
1014,0015
1015,0016
1016,0017
1017,0018
1018,0019
1019,0020
1020,0021
1021,0022
1022,0023
1023,0024
1024,0025
1025,0027
1026,0028
1027,0029
1028,0030
1029,0031
1030,0032
1031,0033
1032,0034
1033,0035
1034,0036
1035,0037
1036,0038
1037,0042
1038,0043
1039,0044
1040,0045
1041,0046
1042,0047
1043,0048
1044,0049
1045,0050
1046,0051
1047,0052
1048,0053